Time,root.group_9.1701.ZT1
1546272000165,0
1546272002109,0
1546272004109,0
1546272006104,0
1546272008108,0
1546272010104,0
1546272012130,0
1546272014109,0
1546272016104,0
1546272018102,0
1546272020111,0
1546272022104,0
1546272024153,0
1546272026114,0
1546272028108,0
1546272030104,0
1546272032111,0
1546272034105,0
1546272036126,0
1546272038106,0
1546272040112,0
1546272042122,0
1546272044104,0
1546272046113,0
1546272048136,0
1546272050104,0
1546272052118,0
1546272054120,0
1546272056106,0
1546272058114,0
1546272060109,0
1546272062107,0
1546272064106,0
1546272066119,0
1546272068106,0
1546272070112,0
1546272072153,0
1546272074114,0
1546272076115,0
1546272078103,0
1546272080108,0
1546272082110,0
1546272084126,0
1546272086112,0
1546272088110,0
1546272090120,0
1546272092106,0
1546272094110,0
1546272096154,0
1546272098110,0
1546272100110,0
1546272102104,0
1546272104110,0
1546272106109,0
1546272108109,0
1546272110113,0
1546272112122,0
1546272114119,0
1546272116108,0
1546272118109,0
1546272120153,0
1546272122108,0
1546272124111,0
1546272126120,0
1546272128105,0
1546272130114,0
1546272132109,0
1546272134112,0
1546272136109,0
1546272138103,0
1546272140110,0
1546272142106,0
1546272144153,0
1546272146108,0
1546272148109,0
1546272150119,0
1546272152110,0
1546272154104,0
1546272156132,0
1546272158112,0
1546272160109,0
1546272162123,0
1546272164107,0
1546272166110,0
1546272168152,0
1546272170110,0
1546272172114,0
1546272174136,0
1546272176114,0
1546272178106,0
1546272180109,0
1546272182105,0
1546272184103,0
1546272186119,0
1546272188106,0
1546272190111,0
1546272192152,0
1546272194107,0
1546272196110,0
1546272198120,0
1546272200106,0
1546272202113,0
1546272204127,0
1546272206111,0
1546272208114,0
1546272210119,0
1546272212106,0
1546272214104,0
1546272216153,0
1546272218110,0
1546272220108,0
1546272222103,0
1546272224113,0
1546272226114,0
1546272228126,0
1546272230107,0
1546272232109,0
1546272234116,0
1546272236110,0
1546272238108,0
1546272240135,0
1546272242103,0
1546272244110,0
1546272246121,0
1546272248106,0
1546272250112,0
1546272252128,0
1546272254106,0
1546272256112,0
1546272258120,0
1546272260106,0
1546272262111,0
1546272264153,0
1546272266106,0
1546272268107,0
1546272270104,0
1546272272106,0
1546272274113,0
1546272276126,0
1546272278109,0
1546272280113,0
1546272282121,0
1546272284111,0
1546272286110,0
1546272288152,0
1546272290111,0
1546272292110,0
1546272294121,0
1546272296111,0
1546272298112,0
1546272300110,0
1546272302107,0
1546272304111,0
1546272306119,0
1546272308104,0
1546272310111,0
1546272312153,0
1546272314107,0
1546272316109,0
1546272318120,0
1546272320107,0
1546272322111,0
1546272324128,0
1546272326108,0
1546272328105,0
1546272330120,0
1546272332105,0
1546272334113,0
1546272336154,0
1546272338111,0
1546272340114,0
1546272342121,0
1546272344110,0
1546272346112,0
1546272348126,0
1546272350104,0
